ID	SEX	BIRTH	DOD	REMOVE DATE	DAM	SIRE	BEHAVIORAL MOM	CS STATUS	GROUP AT BIRTH	CS BIRTH SEASON	Comments
I1754N	f	25/08/2016					54N	IN CS	R	2017	
I176L1	f	25/08/2016					6L1	IN CS	KK	2017	
I179H9	m	25/08/2016					9H9	IN CS	KK	2017	
I1780S-K	m	26/08/2016	06/09/2016				80S	Dead	HH	2017	
I171P0	f	26/08/2016					1P0	IN CS	KK	2017	
I172A7	m	26/08/2016					2A7	IN CS	F	2017	
I1756R	f	26/08/2016					56R	IN CS	HH	2017	
I175H4	f	26/08/2016					5H4	IN CS	KK	2017	
I176B0	m	26/08/2016					6B0	IN CS	R	2017	
I170M4	m	27/08/2016					0M4	IN CS	V	2017	
I1744V	m	27/08/2016					44V	IN CS	KK	2017	
I174H3	f	27/08/2016					4H3	IN CS	S	2017	
I175C6	f	27/08/2016					5C6	IN CS	V	2017	
I1760R	m	27/08/2016					60R	IN CS	KK	2017	
I170J5	f	28/08/2016					0J5	IN CS	KK	2017	
I171C7	f	28/08/2016					1C7	IN CS	KK	2017	
I173I4	f	28/08/2016					3I4	IN CS	S	2017	
I175L7	m	28/08/2016					5L7	IN CS	V	2017	
I177B7	m	28/08/2016					7B7	IN CS	F	2017	
I1783Z	m	28/08/2016					83Z	IN CS	KK	2017	
I177A6	f	29/08/2016					7A6	IN CS	R	2017	
I1785V	f	29/08/2016					85V	IN CS	R	2017	
I173J3	m	31/08/2016					3J3	IN CS	R	2017	
I174K4	m	31/08/2016					4K4	IN CS	R	2017	
I174O4	f	31/08/2016					4O4	IN CS	V	2017	
I177E0	f	31/08/2016					7E0	IN CS	HH	2017	
I179C1	m	31/08/2016					9C1	IN CS	V	2017	
I178A3	m	01/09/2016					8A3	IN CS	R	2017	
I179N3	m	01/09/2016					9N3	IN CS	F	2017	
I172A5	f	02/09/2016					2A5	IN CS	F	2017	
I172E4	m	02/09/2016					2E4	IN CS	V	2017	
I174B2	f	03/09/2016					4B2	IN CS	R	2017	
I173F8	m	05/09/2016					3F8	IN CS	R	2017	
I1777S	m	06/09/2016					77S	IN CS	HH	2017	
I177A9	f	06/09/2016					7A9	IN CS	S	2017	
I178J8	f	06/09/2016					8J8	IN CS	F	2017	
I170C6	f	07/09/2016					0C6	IN CS	MM	2017	
I173D9	m	07/09/2016					3D9	IN CS	V	2017	
I174I3	f	07/09/2016					4I3	IN CS	S	2017	
I1782V	m	07/09/2016					82V	IN CS	S	2017	
I1793Z	f	07/09/2016					93Z	IN CS	MM	2017	
I1722H	f	08/09/2016					22H	IN CS	HH	2017	
I178N1	f	08/09/2016					8N1	IN CS	F	2017	
I171B0	f	09/09/2016					1B0	IN CS	V	2017	
I171I5	m	10/09/2016					1I5	IN CS	V	2017	
I173H6	m	10/09/2016					3H6	IN CS	R	2017	
I171E0	f	12/09/2016					1E0	IN CS	MM	2017	
I176K9	m	12/09/2016					6K9	IN CS	R	2017	
I170B4	F	13/09/2016					0B4	IN CS	S	2017	
I172L8	f	13/09/2016					2L8	IN CS	F	2017	
I173E2	f	13/09/2016					3E2	IN CS	F	2017	
I1713H	f	15/09/2016					13H	IN CS	V	2017	
I175E8	f	15/09/2016					5E8	IN CS	V	2017	
I174C9	f	17/09/2016					4C9	IN CS	V	2017	
I1779Z	m	19/09/2016					79Z	IN CS	F	2017	
I1761J	m	20/09/2016					61J	IN CS	F	2017	
I179I3	f	23/09/2016					9I3	IN CS	S	2017	
I1751Z	m	24/09/2016					51Z	IN CS	V	2017	
I175M5	f	27/09/2016					5M5	IN CS	KK	2017	
I173E7	m	28/09/2016					3E7	IN CS	F	2017	
I176B4	m	28/09/2016					6B4	IN CS	HH	2017	
I1743J	f	29/09/2016					43J	IN CS	F	2017	
I1648N	m	05/01/2015					48N	IN CS	R	2016	
I165G9	f	30/05/2015					5G9	IN CS	F	2016	
I161C0	m	20/06/2015	22/07/2015				1C0	Dead	F	2016	
I169I5	f	22/06/2015					9I5	IN CS	HH	2016	
I162J2	m	24/06/2015					2J2	IN CS	F	2016	
I168E8	f	27/06/2015					8E8	IN CS	F	2016	
I160K8	m	29/06/2015					0K8	IN CS	KK	2016	
I164J6	m	30/06/2015					4J6	IN CS	HH	2016	
I1656R	f	01/07/2015					56R	IN CS	HH	2016	
I160L9	f	02/07/2015		12/11/2015			0L9	Remove	S	2016	
I167K5	m	02/07/2015		18/11/2015			7K5	Remove	KK	2016	
I160F6	f	03/07/2015					0F6	IN CS	R	2016	
I164L8	m	04/07/2015					4L8	IN CS	HH	2016	
I166K7	f	04/07/2015					6K7	IN CS	R	2016	
I164K0	f	05/07/2015		30/10/2015			4K0	Remove	R	2016	
I161L7	m	05/07/2015					1L7	IN CS	R	2016	
I163J3	f	05/07/2015					3J3	IN CS	R	2016	
I163G2	m	06/07/2015					3G2	IN CS	S	2016	
I1643J	f	07/07/2015	13/07/2015				43J	Dead	F	2016	
I162G8	m	07/07/2015					2G8	IN CS	R	2016	
I164I3	f	07/07/2015					4I3	IN CS	S	2016	
I1689K	m	07/07/2015					89K	IN CS	R	2016	
I169H9	m	07/07/2015					9H9	IN CS	KK	2016	
I160B9	f	08/07/2015					0B9	IN CS	HH	2016	
I163H6	m	08/07/2015					3H6	IN CS	R	2016	
I165H6	f	08/07/2015					5H6	IN CS	S	2016	
I168K7	f	08/07/2015					8K7	IN CS	HH	2016	
I169C7	f	08/07/2015					9C7	IN CS	S	2016	
I164C2	f	09/07/2015					4C2	IN CS	F	2016	
I160E1	f	10/07/2015					0E1	IN CS	R	2016	
I1649V	m	10/07/2015					49V	IN CS	KK	2016	
